SKU_Input,PartNum,ProductName,DBP_ex_GST,DBP_inc_GST,RRP_ex_GST,RRP_inc_GST,Available_SYD,Available_MEL,Available_BRS,Available_ADL,Available_WA,Status
NWG-WGA130000,NWG-WGA130000,WatchGuard AP130 Appliance Only – License Not Included (Requires Separate WG License Purchase),428,470.8,535,588.5,10,0,0,0,0,OK
NWG-WGA13003309,,,,,,,,,,,,NOT FOUND
NWG-WGA13022001,NWG-WGA13022001,USP Wi-Fi Management for WatchGuard AP130 - 1-year,153,168.3,782.73,861,0,0,0,0,0,OK
NWG-WGA13022003,NWG-WGA13022003,USP Wi-Fi Management for WatchGuard AP130 - 3-year,306,336.6,975.45,1073,0,0,0,0,0,OK
NWG-WGA13022005,NWG-WGA13022005,USP Wi-Fi Management for WatchGuard AP130 - 5-year,458,503.8,1170,1287,0,0,0,0,0,OK
NWG-WGA13022101,NWG-WGA13022101,Standard Wi-Fi Management for WatchGuard AP130 - 1-year,92,101.2,705.45,776,0,0,0,0,0,OK
NWG-WGA13022103,NWG-WGA13022103,Standard Wi-Fi Management for WatchGuard AP130 - 3-year,183,201.3,820.91,903,0,0,0,0,0,OK
NWG-WGA13022105,NWG-WGA13022105,Standard Wi-Fi Management for WatchGuard AP130 - 5-year,275,302.5,937.27,1031,0,0,0,0,0,OK
NWG-WGA230000,NWG-WGA230000,WatchGuard AP230W Appliance Only – License Not Included (Requires Separate WG License Purchase),623,685.3,779,856.9,8,0,0,0,0,OK
NWG-WGA23003309,,,,,,,,,,,,NOT FOUND
NWG-WGA23022001,NWG-WGA23022001,USP Wi-Fi Management for WatchGuard AP230W - 1-year,153,168.3,1030,1133,0,0,0,0,0,OK
NWG-WGA23022003,NWG-WGA23022003,USP Wi-Fi Management for WatchGuard AP230W - 3-year,306,336.6,1223.64,1346,0,0,0,0,0,OK
NWG-WGA23022005,NWG-WGA23022005,USP Wi-Fi Management for WatchGuard AP230W - 5-year,458,503.8,1416.36,1558,0,0,0,0,0,OK
NWG-WGA23022101,NWG-WGA23022101,Standard Wi-Fi Management for WatchGuard AP230W - 1-year,92,101.2,952.73,1048,0,0,0,0,0,OK
NWG-WGA23022103,NWG-WGA23022103,Standard Wi-Fi Management for WatchGuard AP230W - 3-year,183,201.3,1069.09,1176,0,0,0,0,0,OK
NWG-WGA23022105,NWG-WGA23022105,Standard Wi-Fi Management for WatchGuard AP230W - 5-year,275,302.5,1184.55,1303,0,0,0,0,0,OK
NWG-WGA330000,NWG-WGA330000,WatchGuard AP330 Appliance Only – License Not Included (Requires Separate WG License Purchase),754,829.4,943,1037.3,0,0,0,0,0,OK
NWG-WGA33003309,,,,,,,,,,,,NOT FOUND
NWG-WGA33022001,NWG-WGA33022001,USP Wi-Fi Management for WatchGuard AP330 - 1-year,153,168.3,1195.45,1315,0,0,0,0,0,OK
NWG-WGA33022003,NWG-WGA33022003,USP Wi-Fi Management for WatchGuard AP330 - 3-year,306,336.6,1388.18,1527,0,0,0,0,0,OK
NWG-WGA33022005,NWG-WGA33022005,USP Wi-Fi Management for WatchGuard AP330 - 5-year,458,503.8,1581.82,1740,0,0,0,0,0,OK
NWG-WGA33022101,NWG-WGA33022101,Standard Wi-Fi Management for WatchGuard AP330 - 1-year,92,101.2,1118.18,1230,0,0,0,0,0,OK
NWG-WGA33022103,NWG-WGA33022103,Standard Wi-Fi Management for WatchGuard AP330 - 3-year,183,201.3,1234.55,1358,0,0,0,0,0,OK
NWG-WGA33022105,NWG-WGA33022105,Standard Wi-Fi Management for WatchGuard AP330 - 5-year,275,302.5,1350,1485,0,0,0,0,0,OK
NWG-WGA332000,NWG-WGA332000,WatchGuard AP332CR Appliance Only – License Not Included (Requires Separate WG License Purchase),900,990,1125,1237.5,1,2,1,0,0,OK
NWG-WGA33203309,,,,,,,,,,,,NOT FOUND
